revision;Meta Class;Meta Concept;Meta Description;envisionName;nwName;format;flags;nullTokens;failureKey;failureMapping;nbOccurrences;shotMeta;name_noDot;ecsName;ecsType
1;Miscellaneous;Client Application;This key is used to capture only the name of the client application requesting resources of the server. See the user.agent meta key for capture of the specific user agent identifier or browser identification string.;agent;client;Text;None;;;;67;misc;client;rsa.misc.client;keyword
1;Time;Duration in seconds;This key is used to capture the normalized duration/lifetime in seconds.;duration;duration.time;Float64;None;;duration.str;duration_string;63;time;duration_time;rsa.time.duration_time;double
1;;;;msgIdPart1;;;;;;;63;misc;msgIdPart1;rsa.misc.msgIdPart1;keyword
1;Network;Network Service Name;This is used to capture layer 7 protocols/service names;network_service;network.service;Text;Transient;;;;62;network;network_service;rsa.network.network_service;keyword
1;File;Directory;This key is used to capture the file directory or path only;directory;directory;Text;None;;;;60;file;directory;file.directory;keyword
1;Network;Interface Generic;This key should be used when the source or destination context of an interface is not clear;interface;interface;Text;Transient;;;;60;network;interface;rsa.network.interface;keyword
1;;;;msgIdPart2;;;;;;;60;misc;msgIdPart2;rsa.misc.msgIdPart2;keyword
1;Miscellaneous;Change Old;This key is used to capture the old value of the attribute that’s changing in a session;change_old;change.old;Text;Transient;;;;59;misc;change_old;rsa.misc.change_old;keyword
1;Time;Event Time String;This key is used to capture the incomplete time mentioned in a session as a string;event_time_string;event.time.str;Text;Transient;;;;58;time;event_time_str;rsa.time.event_time_str;keyword
1;Reserved;Time;This is the time at which a session hits a NetWitness Decoder. This key should never be used to parse Meta data from a session (Logs/Packets) Directly, this is a Reserved key in NetWitness.;time;time;TimeT;Transient;;;;58;internal;time;rsa.internal.time;keyword
1;Network;Bytes Total;This key is the total number of Bytes sent/received in a session. Also, in cases where the Sent or Received context is not clear, this can be used.;bytes;bytes;UInt64;None;(null)|-;;;56;network;bytes;network.bytes;long
1;Network;Ethernet Source;This key should only be used when it’s a Source Mac Address.;smacaddr;eth.src;MAC;None;Unknown|Irresolvable;;;56;network;eth_src;source.mac;keyword
1;Miscellaneous;Operation Number;An alert number or operation number. The values should be unique and non-repeating.;operation_id;operation.id;Text;Transient;;;;56;misc;operation_id;rsa.misc.operation_id;keyword
1;Miscellaneous;Event State;This key captures the current state of the object/item referenced within the event. Describing an on-going event.;event_state;event.state;Text;None;;;;55;misc;event_state;rsa.misc.event_state;keyword
1;Network;Bytes Sent;This key should only be used to capture the size of Bytes Sent;sbytes;bytes.src;UInt64;None;(null)|-;;;53;network;bytes_src;source.bytes;long
1;;Network Port;Deprecated, use port. NOTE: There is a type discrepancy as currently used, TM: Int32, INDEX: UInt64 (why neither chose the correct UInt16?!);network_port;network.port;UInt64;None;(null);;;51;network;network_port;rsa.network.network_port;long
1;Network;Bytes Received;This key should only be used to capture the size of Bytes Received;rbytes;rbytes;UInt64;None;(null)|-;;;51;network;rbytes;destination.bytes;long
1;Time;Time Start;This key is used to capture the Start time mentioned in a session in a standard form;starttime;starttime;TimeT;None;;;;50;time;starttime;rsa.time.starttime;keyword
1;;;;uid;username;Text;None;none|-;;;50;identity;username;user.name;keyword
1;Miscellaneous;Action Event;This key is used to capture the primary action in a session;web_method;action;Text;None;;;;49;misc;action;rsa.misc.action;keyword
1;;;;month;;;;;;;49;time;month;rsa.time.month;keyword
1;Identity;Authentication Method;This key is used to capture authentication methods used only;authmethod;auth.method;Text;Transient;;;;46;identity;auth_method;rsa.identity.auth_method;keyword
1;;;;day;;;;;;;46;time;day;rsa.time.day;keyword
1;;;Deprecated key defined only in table map.;level;level;Int32;None;;;;45;internal;level;rsa.internal.level;integer
1;Miscellaneous;Group Object;This key captures a collection/grouping of entities. Specific usage;group_object;group.object;Text;Transient;;;;42;misc;group_object;rsa.misc.group_object;keyword
1;Miscellaneous;Node;Common use case is the node name within a cluster. The cluster name is reflected by the host name.;node;node;Text;Transient;;;;42;misc;node;rsa.misc.node;keyword
1;Miscellaneous;Rule Number;This key captures the Rule number;rule;rule;Text;Transient;;;;41;misc;rule;rsa.misc.rule;keyword
1;;Ethernet Host Address;Deprecated, use alias.mac;macaddr;eth.host;MAC;None;;;;39;network;eth_host;rsa.network.eth_host;keyword
1;Network;Source Interface;This key should only be used when it’s a Source Interface;sinterface;sinterface;Text;Transient;;;;39;network;sinterface;rsa.network.sinterface;keyword
1;Miscellaneous;Device Name;This is used to capture name of the Device associated with the node Like: a physical disk, printer, etc;device;device.name;Text;Transient;;;;38;misc;device_name;rsa.misc.device_name;keyword
1;Time;Event End time;This key is used to capture the End time mentioned in a session in a standard form;endtime;endtime;TimeT;Transient;;;;38;time;endtime;rsa.time.endtime;keyword
1;Miscellaneous;User Agent;This key captures the user agent identifier or the browser identification string. See the client meta key for the client application making the request.;user_agent;user.agent;Text;None;;;;37;misc;user_agent;user_agent.original;keyword
1;Reserved;Message ID;This is the Message ID1 value that identifies the exact log parser definition which parses a particular log session. This key should never be used to parse Meta data from a session (Logs/Packets) Directly, this is a Reserved key in NetWitness;msg_id;msg.id;Text;None;;;;36;internal;msg_id;rsa.internal.msg_id;keyword
1;Time;Time Zone;This key is used to capture the timezone of the Event Time;timezone;timezone;Text;None;;;;36;time;timezone;rsa.time.timezone;keyword
1;Miscellaneous;Parameter;This key is the parameters passed as part of a command or application, etc.;param;param;Text;None;;;;35;misc;param;rsa.misc.param;keyword
1;Email;Destination E-mail Address;This key is used to capture the Destination email address only, when the destination context is not clear use email;to;email.dst;Text;None;;;;34;email;email_dst;rsa.email.email_dst;keyword
1;Network;Ethernet Destination;This key should only be used when it’s a Destination Mac Address;dmacaddr;eth.dst;MAC;None;;;;34;network;eth_dst;destination.mac;keyword
1;Miscellaneous;Change Attribute;This key is used to capture the name of the attribute that’s changing in a session;change_attribute;change.attrib;Text;Transient;;;;33;misc;change_attrib;rsa.misc.change_attrib;keyword
1;Network;Traffic Flow Direction;This Key should never be used in a parser, this is a reserved key used by the product to calculate the direction.;direction;direction;Text;None;;;;33;network;direction;network.direction;keyword
1;Investigations;Event Categorization ID;This key captures the Event category number;event_cat;event.cat;UInt32;Transient;;;;33;investigations;event_cat;rsa.investigations.event_cat;integer
1;Investigations;Event Category Name;This key captures the event category name corresponding to the event cat code;event_cat_name;event.cat.name;Text;None;;;;33;investigations;event_cat_name;rsa.investigations.event_cat_name;keyword
1;Miscellaneous;Event Hostname;This key is a windows only concept, where this key is used to capture fully qualified domain name in a windows log.;event_computer;event.computer;Text;None;;;;33;misc;event_computer;rsa.misc.event_computer;keyword
1;Email;Source E-mail Address;This key is used to capture the source email address only, when the source context is not clear use email;from;email.src;Text;None;;;;32;email;email_src;rsa.email.email_src;keyword
1;Miscellaneous;Reference Id1;"This key is for Linked ID to be used as an addition to ""reference.id""";id1;reference.id1;Text;Transient;;;;32;misc;reference_id1;rsa.misc.reference_id1;keyword
1;;Translated Source Address;Deprecated, use ip.trans.src;stransaddr;stransaddr;Text;Transient;;;;32;network;stransaddr;source.nat.ip;ip
1;Reserved;Message ID1;This is the Message ID2 value that identifies the exact log parser definition which parses a particular log session. This key should never be used to parse Meta data from a session (Logs/Packets) Directly, this is a Reserved key in NetWitness;vid;msg.vid;Text;Transient;;;;31;internal;msg_vid;rsa.internal.msg_vid;keyword
1;;Privilege;Deprecated, use permissions;privilege;privilege;Text;Transient;;;;31;file;privilege;rsa.file.privilege;keyword
1;Identity;User Role;This key is used to capture the Role of a user only;user_role;user.role;Text;Transient;;;;31;identity;user_role;rsa.identity.user_role;keyword
1;Miscellaneous;Event Log Name;This key captures the Name of the event log;event_log;event.log;Text;Transient;;;;30;misc;event_log;rsa.misc.event_log;keyword
1;Web;FQDN;Fully Qualified Domain Names;fqdn;fqdn;Text;None;;;;29;web;fqdn;rsa.web.fqdn;keyword
1;;User Account;Deprecated, use user;administrator;username;Text;None;none|-;;;29;identity;username;user.name;keyword
1;;;;hostid;alias.host;Text;None;;;;28;network;alias_host;rsa.network.alias_host;keyword
1;;;Deprecated key defined only in table map.;data;data;Text;Transient;;;;28;internal;data;rsa.internal.data;keyword
1;Counters;Device class Counter 2;This is a generic counter key that should be used with the label dclass.c2.str only;dclass_counter2;dclass.c2;Int32;Transient;;;;28;counters;dclass_c2;rsa.counters.dclass_c2;integer
1;Network;Interface Destination;This key should only be used when it’s a Destination Interface;dinterface;dinterface;Text;Transient;;;;28;network;dinterface;rsa.network.dinterface;keyword
1;Miscellaneous;Operating System;This key captures the Name of the Operating System;os;OS;Text;None;;;;28;misc;OS;rsa.misc.OS;keyword
1;Web;Web page;The captures the web page information;webpage;web.page;Text;Transient;;;;28;web;web_page;http.response.body.content;keyword
1;Miscellaneous;Name of the Terminal;This key captures the Terminal Names only;terminal;terminal;Text;Transient;;;;27;misc;terminal;rsa.misc.terminal;keyword
1;;;;msgIdPart3;;;;;;;27;misc;msgIdPart3;rsa.misc.msgIdPart3;keyword
1;Miscellaneous;Filter;This key captures Filter used to reduce result set;filter;filter;Text;None;;;;26;misc;filter;rsa.misc.filter;keyword
1;Miscellaneous;Serial Number;This key is the Serial number associated with a physical asset.;serial_number;serial.number;Text;Transient;;;;26;misc;serial_number;rsa.misc.serial_number;keyword
1;Email;Subject;This key is used to capture the subject string from an Email only.;subject;subject;Text;None;;;;26;email;subject;rsa.email.subject;keyword
1;Identity;Domain OU;X.500 (LDAP) Distinguished Name;dn;dn;Text;None;;;;25;identity;dn;rsa.identity.dn;keyword
1;Time;Duration;A text string version of the duration;duration_string;duration.str;Text;Transient;;;;25;time;duration_str;rsa.time.duration_str;keyword
1;Database;Database instance name;This key is used to capture the database server instance name;instance;instance;Text;Transient;;;;25;db;instance;rsa.db.instance;keyword
1;;;;signame;policy.name;Text;None;;;;25;misc;policy_name;rsa.misc.policy_name;keyword
1;;;;web_query;query;Text;None;;;;25;web;query;url.query;keyword
1;;;;date;;;;;;;25;time;date;rsa.time.date;keyword
1;Identity;Logon Type;This key is used to capture the type of logon method used.;logon_type;logon.type;Text;None;;;;24;identity;logon_type;rsa.identity.logon_type;keyword
1;Web;Referer;This is used to capture the Web Referrer URL address specifically.;web_referer;referer;Text;None;None|-;;;24;web;referer;http.request.referrer;keyword
1;;Translated Destination Address;Deprecated, use ip.trans.dst;dtransaddr;dtransaddr;Text;Transient;;;;23;network;dtransaddr;destination.nat.ip;ip
1;Threat;Threat Category;This key captures Threat Name/Threat Category/Categorization of alert;threat_name;threat.category;Text;None;;;;23;threat;threat_category;rsa.threat.threat_category;keyword
1;Network;Vlan Number;This key should only be used to capture the ID of the Virtual LAN;vlan;vlan;UInt16;Transient;;vlan.name;vlan.name;23;network;vlan;rsa.network.vlan;integer
1;Miscellaneous;Checksum;This key is used to capture the checksum or hash of the entity such as a file or process. Checksum should be used over checksum.src or checksum.dst when it is unclear whether the entity is a source or target of an action.;checksum;checksum;Text;None;;;;22;misc;checksum;rsa.misc.checksum;keyword
1;Miscellaneous;Event User;This key is a windows only concept, where this key is used to capture combination of domain name and username in a windows log.;event_user;event.user;Text;None;;;;22;misc;event_user;rsa.misc.event_user;keyword
1;;;;year;;;;;;;22;time;year;rsa.time.year;keyword
1;Physical;Location;This is used to capture either the complete address or a description about a location being referenced in a session;location_desc;loc.desc;Text;Transient;;;;21;physical;loc_desc;geo.name;keyword
1;Miscellaneous;Virus Name;This key captures the name of the virus;virusname;virusname;Text;None;;;;21;misc;virusname;rsa.misc.virusname;keyword
1;Email;E-mail Address;This key is used to capture a generic email address where the source or destination context is not clear;user_address;email;Text;None;;;;20;email;email;rsa.email.email;keyword
1;File;File Size;This key is used to capture the size of the file only;filename_size;filename.size;Int32;None;(null)|-|N/A;;;20;file;filename_size;file.size;long
1;;Translated Source Port;Deprecated, use port.trans.src. NOTE: There is a type discrepancy as currently used, TM: Text, INDEX: UInt16;stransport;stransport;UInt16;Transient;;;;20;network;stransport;source.nat.port;long
1;Miscellaneous;Content Type;This key is used to capture Content Type only.;content_type;content.type;Text;Transient;;;;19;misc;content_type;rsa.misc.content_type;keyword
1;Database;Database Name;This key is used to capture the name of a database or an instance as seen in a session;db_name;database;Text;Transient;;;;19;db;database;rsa.db.database;keyword
1;;Translated Destination Port;Deprecated, use port.trans.dst. NOTE: There is a type discrepancy as currently used, TM: Text, INDEX: UInt16;dtransport;dtransport;UInt16;Transient;;;;19;network;dtransport;destination.nat.port;long
1;Miscellaneous;Group ID;This key captures Group ID Number (related to the group name);groupid;group.id;Text;Transient;;;;19;misc;group_id;rsa.misc.group_id;keyword
1;Miscellaneous;Policy ID;This key is used to capture the Policy ID only, this should be a numeric value, use policy.name otherwise;policy_id;policy.id;Text;Transient;;;;19;misc;policy_id;rsa.misc.policy_id;keyword
1;Cryptography;Cipher Name;This key is used to capture the Encryption Type or Encryption Key only;encryption_type;crypto;Text;Transient;;;;18;crypto;crypto;rsa.crypto.crypto;keyword
1;Time;Recorded time;The event time as recorded by the system the event is collected from. The usage scenario is a multi-tier application where the management layer of the system records it's own timestamp at the time of collection from its child nodes. Must be in timestamp format.;recorded_time;recorded.time;TimeT;Transient;;;;18;time;recorded_time;rsa.time.recorded_time;keyword
1;Miscellaneous;Virtual system name;This key captures Virtual System Name;vsys;vsys;Text;Transient;;;;18;misc;vsys;rsa.misc.vsys;keyword
1;Web;Web request Domain;This key captures Domain name in the Web Request;web_domain;web.domain;Text;Transient;;;;18;web;web_domain;url.domain;keyword
1;Miscellaneous;Connection ID;This key captures the Connection ID;connectionid;connection.id;Text;Transient;;;;17;misc;connection_id;rsa.misc.connection_id;keyword
1;Investigations;Vendor supplied Event Category;This is a vendor supplied category. This should be used in situations where the vendor has adopted their own event_category taxonomy.;vendor_event_cat;event.vcat;Text;Transient;;;;17;investigations;event_vcat;rsa.investigations.event_vcat;keyword
1;Miscellaneous;Packets Total;This key is the total number of packets sent/received in a session. Also, in cases where the Sent or Received context is not clear, this can be used.;packets;packets;UInt32;Transient;(null)|-;;;17;misc;packets;network.packets;long
1;;Parent Pid;Deprecated, use process.id.src;parent_pid;parent.pid;Int32;Transient;;parent.pid.val;parent_pid_val;17;misc;parent_pid;process.ppid;long
1;Identity;User Profile;This key is used to capture the user profile;profile;profile;Text;Transient;;;;17;identity;profile;rsa.identity.profile;keyword
1;Miscellaneous;Reference Id2;"This key is for the 2nd Linked ID. Can be either linked to ""reference.id"" or ""reference.id1"" value but should not be used unless the other two variables are in play.";id2;reference.id2;Text;Transient;;;;17;misc;reference_id2;rsa.misc.reference_id2;keyword
1;Miscellaneous;Sensor Name;This key captures Name of the sensor. Typically used in IDS/IPS based devices;sensor;sensor;Text;Transient;;;;17;misc;sensor;rsa.misc.sensor;keyword
1;Miscellaneous;Signature ID;This key captures IDS/IPS Int Signature ID;sigid;sig.id;Int32;None;(null);sig.id.str;sigid_string;17;misc;sig_id;rsa.misc.sig_id;integer
1;;;;logon_id;username;Text;None;none|-;;;17;identity;username;user.name;keyword
1;;;;datetime;;;;;;;17;time;datetime;rsa.time.datetime;keyword
1;Network;Zone Source;This key should only be used when it’s a Source Zone.;src_zone;zone.src;Text;Transient;;;;16;network;zone_src;rsa.network.zone_src;keyword
1;;;;user_fullname;fullname;Text;Transient;;;;15;identity;fullname;user.full_name;keyword
1;Miscellaneous;Port(Physical/Logical);This key is used for Physical or logical port connection but does NOT include a network port. (Example: Printer port name).;portname;port.name;Text;Transient;;;;15;misc;port_name;rsa.misc.port_name;keyword
1;Miscellaneous;Rule Group;This key captures the Rule group name;rule_group;rule.group;Text;Transient;;;;15;misc;rule_group;rsa.misc.rule_group;keyword
1;;;;owner;username;Text;None;none|-;;;15;identity;username;user.name;keyword
1;Wireless;WLAN Service Set Identifier;This key is used to capture the ssid of a Wireless Session;ssid;wlan.ssid;Text;Transient;;;;15;wireless;wlan_ssid;rsa.wireless.wlan_ssid;keyword
1;Network;Zone Generic;This key should be used when the source or destination context of a Zone is not clear;zone;zone;Text;Transient;;;;15;network;zone;rsa.network.zone;keyword
1;Network;Zone Destination;This key should only be used when it’s a Destination Zone.;dst_zone;zone.dst;Text;Transient;;;;15;network;zone_dst;rsa.network.zone_dst;keyword
1;Identity;Accesses;This key is used to capture actual privileges used in accessing an object;accesses;accesses;Text;None;;;;14;identity;accesses;rsa.identity.accesses;keyword
1;Network;Gateway;This key is used to capture the IP Address of the gateway;gateway;gateway;Text;Transient;;;;14;network;gateway;rsa.network.gateway;keyword
1;Miscellaneous;Risk Number;This key captures a Numeric Risk value;risk_num;risk.num;Float64;None;;;;14;misc;risk_num;rsa.misc.risk_num;double
1;Miscellaneous;Trigger Value;This key captures the Value of the trigger or threshold condition.;trigger_val;trigger.val;Text;Transient;;;;14;misc;trigger_val;rsa.misc.trigger_val;keyword
1;Cryptography;Source (Server) Cipher;This key is for Source (Client) Cipher;s_cipher;cipher.src;Text;Transient;;;;13;crypto;cipher_src;rsa.crypto.cipher_src;keyword
1;Network;ICMP Type;This key is used to capture the ICMP type only;icmptype;icmp.type;UInt32;Transient;;;;13;network;icmp_type;rsa.network.icmp_type;integer
1;Miscellaneous;Linked (Related) Session ID;This key is used to capture a Linked (Related) Session ID from the session directly;sessionid1;log.session.id1;Text;Transient;;;;13;misc;log_session_id1;rsa.misc.log_session_id1;keyword
1;;;Deprecated key defined only in table map.;obj_server;obj.server;Text;Transient;;;;13;internal;obj_server;rsa.internal.obj_server;keyword
1;Threat;Threat Description;This key is used to capture the threat description from the session directly or inferred;threat_val;threat.desc;Text;None;;;;13;threat;threat_desc;rsa.threat.threat_desc;keyword
1;Web;Web Cookie;This key is used to capture the Web cookies specifically.;web_cookie;web.cookie;Text;Transient;;;;13;web;web_cookie;rsa.web.web_cookie;keyword
1;Web;Root URLPath;This key captures the root URL path;web_root;web.root;Text;Transient;;;;13;web;web_root;url.path;keyword
1;;;;web_host;alias.host;Text;None;;;;12;web;alias_host;rsa.web.alias_host;keyword
1;Miscellaneous;Sub component Version;This key captures the Version level of a sub-component of a product.;component_version;comp.version;Text;Transient;;;;12;misc;comp_version;rsa.misc.comp_version;keyword
1;Miscellaneous;Content Version;This key captures Version level of a signature or database content.;content_version;content.version;Text;Transient;;;;12;misc;content_version;rsa.misc.content_version;keyword
1;Counters;Event Counter;This is used to capture the number of times an event repeated;event_counter;event.counter;Int32;Transient;;;;12;counters;event_counter;rsa.counters.event_counter;integer
1;Miscellaneous;Hardware/Serial ID;This key is used to capture unique identifier for a device or system (NOT a Mac address);hardware_id;hardware.id;Text;Transient;;;;12;misc;hardware_id;rsa.misc.hardware_id;keyword
1;Network;Network mask Generic;This key is used to capture the device network IPmask.;mask;mask;Text;Transient;;;;12;network;mask;rsa.network.mask;keyword
1;Miscellaneous;Risk;This key captures the non-numeric risk value;risk;risk;Text;Transient;;;;12;misc;risk;rsa.misc.risk;keyword
1;;;;event_id;;;;;;;12;misc;event_id;rsa.misc.event_id;keyword
1;;;;reason;;;;;;;12;misc;reason;rsa.misc.reason;keyword
1;;;;status;;;;;;;12;misc;status;rsa.misc.status;keyword
1;Counters;Device class Ratio 1;This is a generic ratio key that should be used with the label dclass.r1.str only;dclass_ratio1;dclass.r1;Text;Transient;;;;11;counters;dclass_r1;rsa.counters.dclass_r1;keyword
1;;Destination Domain;Deprecated, use domain.dst;ddomain;ddomain;Text;Transient;;;;11;network;ddomain;destination.domain;keyword
1;File;File Type;This key is used to capture the type of file only;filetype;filetype;Text;Transient;;;;11;file;filetype;file.type;keyword
1;Network;ICMP Code;This key is used to capture the ICMP code only;icmpcode;icmp.code;UInt32;Transient;;;;11;network;icmp_code;rsa.network.icmp_code;integer
1;Miscellaneous;Mailbox ID/Name;This key is used to capture the mailbox id/name;mail_id;mail.id;Text;Transient;;;;11;misc;mail_id;rsa.misc.mail_id;keyword
1;Identity;Realm;Radius realm or similar grouping of accounts;realm;realm;Text;Transient;;;;11;identity;realm;rsa.identity.realm;keyword
1;;;;sdomain;sdomain;Text;Transient;;;;11;network;sdomain;source.domain;keyword
1;Identity;Destination User Session ID;This key captures Destination User Session ID;sid;user.sid.dst;Text;Transient;;;;11;identity;user_sid_dst;rsa.identity.user_sid_dst;keyword
1;Cryptography;Certificate Subject;This key is used to capture the Certificate organization only;cert_subject;cert.subject;Text;None;;;;10;crypto;cert_subject;rsa.crypto.cert_subject;keyword
1;Counters;Device class Counter 3;This is a generic counter key that should be used with the label dclass.c3.str only;dclass_counter3;dclass.c3;Int32;Transient;;;;10;counters;dclass_c3;rsa.counters.dclass_c3;integer
1;Storage;Disk Volume;A unique name assigned to logical units (volumes) within a physical disk;disk_volume;disk.volume;Text;Transient;;;;10;storage;disk_volume;rsa.storage.disk_volume;keyword
